Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-arxiv,True,no-split,7500,2305,13.821866666666667,0.6146666666666667,99054,0.00919291105123519,4.098324221007246e-05,7479,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,0.514270544052124,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2705,15.1456,0.7213333333333334,108182,0.013410840542602762,4.8095301595768324e-05,7478,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2.1636340618133545,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2616,14.6472,0.6976,104622,0.011443315815891242,4.6512868382450994e-05,7490,4,7,1.5,3,1,1,1,3,-0.18,0.14285714285714285,1.0811841487884521,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2314,13.820666666666666,0.6170666666666667,99027,0.01040217589239536,4.1143263546250614e-05,7489,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.8281214237213135,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2135,13.392266666666666,0.5693333333333334,96172,0.009399082861384366,3.796061697115171e-05,7487,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.7794163227081299,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2169,13.685066666666666,0.5784,98300,0.009210611657616852,3.856514201893586e-05,7489,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.9321379661560059,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2206,13.382666666666667,0.5882666666666667,95958,0.010539152096640924,3.9223007512112725e-05,7481,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.5447914600372314,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2446,14.070933333333333,0.6522666666666667,100640,0.013484092698936643,4.349024314353025e-05,7480,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,0.9465129375457764,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2439,14.108266666666667,0.6504,100934,0.010559013463806131,4.336578210428057e-05,7478,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,0.9689946174621582,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2239,13.768,0.5970666666666666,98782,0.009725744844611842,3.9809752411432635e-05,7488,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.871234655380249,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2171,13.402,0.5789333333333333,96173,0.009828265700089158,3.8600702315864336e-05,7482,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.899237871170044,22 ordered iterations
ogbn-arxiv,True,no-split,7500,1899,12.620533333333332,0.5064,90856,0.007289880592461089,3.3764501933591144e-05,7492,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.45538973808288574,22 ordered iterations
ogbn-arxiv*,True,no-split,7500,2072,13.206666666666667,0.5525333333333333,94906,0.010957867782008019,3.684046761790461e-05,7482,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,0.7740912437438965,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2074,13.230133333333333,0.5530666666666667,95078,0.008970277189719498,3.687602791483309e-05,7485,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.8191044330596924,22 ordered iterations
ogbn-arxiv,True,no-split,7500,2151,13.489066666666666,0.5736,96866,0.00883601309456487,3.8245099346579544e-05,7482,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.7934191226959229,22 ordered iterations
ogbn-arxiv*,True,no-split,4343,847,14.285516923785401,0.3900529587842505,60348,0.006170865080159861,4.4916278072806373e-05,4334,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,0.3373100757598877,22 ordered iterations
ogbn-arxiv*,True,no-split,169343,1166243,13.77373732601879,13.77373732601879,0,0.11829836531589452,4.066840277668502e-05,141223,23164,223310,,,,,,76,0.5838056020957041,0.8742823877121491,789.260244846344,1 ordered iterations
ogbn-arxiv,True,no-split,5000,1019,13.7626,0.4076,66775,0.005399798938182396,4.076815363072614e-05,4996,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.31572747230529785,20 random iterations
ogbn-arxiv,True,no-split,5000,921,12.9272,0.3684,62794,0.005886291544712597,3.684736947389478e-05,4992,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.5785281658172607,20 random iterations
ogbn-arxiv,True,no-split,5000,882,13.0976,0.3528,63724,0.005095686885578189,3.5287057411482296e-05,4993,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.5897760391235352,20 random iterations
ogbn-arxiv*,True,no-split,5000,1162,14.4318,0.4648,69835,0.009219230458745963,4.6489297859571916e-05,4988,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,0.46171116828918457,20 random iterations
ogbn-arxiv*,True,no-split,5000,953,13.221,0.3812,64199,0.00645023041500983,3.8127625525105024e-05,4985,4,6,1.5833333333333333,3,2,1,1,3,-0.18,0.16666666666666666,0.6119966506958008,20 random iterations
ogbn-arxiv,True,no-split,5000,1641,18.0742,0.6564,87089,0.011972313737824465,6.565313062612522e-05,4995,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.7181599140167236,20 random iterations
ogbn-arxiv,True,no-split,5000,913,12.5222,0.3652,60785,0.004596085300467324,3.6527305461092216e-05,4989,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.5815436840057373,20 random iterations
ogbn-arxiv,True,no-split,5000,1033,13.5966,0.4132,65917,0.005765052289813602,4.1328265653130625e-05,4993,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.3098762035369873,20 random iterations
ogbn-arxiv,True,no-split,5000,1207,15.1826,0.4828,73499,0.005767718541106851,4.828965793158632e-05,4992,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.4920313358306885,20 random iterations
ogbn-arxiv,True,no-split,5000,918,12.9932,0.3672,63130,0.0055581858841641475,3.672734546909382e-05,4996,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.27560997009277344,20 random iterations
ogbn-arxiv,True,no-split,5000,961,13.8466,0.3844,67311,0.005494180635794226,3.844768953790758e-05,4995,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.6338596343994141,20 random iterations
ogbn-arxiv,True,no-split,5000,910,13.0588,0.364,63474,0.004388224469356495,3.6407281456291256e-05,4986,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.28363752365112305,20 random iterations
ogbn-arxiv,True,no-split,5000,970,13.2936,0.388,64528,0.005236389949919363,3.880776155231046e-05,4992,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.591123104095459,20 random iterations
ogbn-arxiv*,True,no-split,5000,947,13.3352,0.3788,64782,0.006525156510156509,3.78875775155031e-05,4993,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,0.29937005043029785,20 random iterations
ogbn-arxiv,True,no-split,5000,1385,16.1228,0.554,77844,0.010653664934921495,5.541108221644329e-05,4994,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.5062763690948486,20 random iterations
ogbn-arxiv,True,no-split,5000,1260,15.2436,0.504,73698,0.00922068903958918,5.041008201640328e-05,4993,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.49997782707214355,20 random iterations
ogbn-arxiv,True,no-split,5000,958,13.363,0.3832,64899,0.005753122626527354,3.832766553310662e-05,4991,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.6085083484649658,20 random iterations
ogbn-arxiv,True,no-split,5000,955,13.4338,0.382,65259,0.006623475017647952,3.820764152830566e-05,4990,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.6332612037658691,20 random iterations
ogbn-arxiv,True,no-split,5000,895,12.8478,0.358,62449,0.005391958944437204,3.5807161432286455e-05,4992,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.3333885669708252,20 random iterations
ogbn-arxiv,True,no-split,5000,1123,14.2174,0.4492,68841,0.007309911817190496,4.492898579715943e-05,4989,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.6281824111938477,20 random iterations
ogbn-arxiv,True,no-split,10000,4044,13.8038,0.8088,129950,0.014695634214951897,4.0444044404440446e-05,9983,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.2174017429351807,20 random iterations
ogbn-arxiv,True,no-split,10000,5280,15.8731,1.056,148171,0.02656936608556436,5.280528052805281e-05,9979,2,2,1.0,1,1,1,1,2,-0.5,0.0,3.2161293029785156,20 random iterations
ogbn-arxiv,True,no-split,10000,4057,13.5883,0.8114,127769,0.012689950373976808,4.0574057405740577e-05,9987,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.0676922798156738,20 random iterations
ogbn-arxiv,True,no-split,10000,4284,14.1615,0.8568,133047,0.015220572686184949,4.2844284428442846e-05,9969,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.3556792736053467,20 random iterations
ogbn-arxiv*,True,no-split,10000,3970,13.6231,0.794,128291,0.016461498426242765,3.9703970397039704e-05,9963,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.187610149383545,20 random iterations
ogbn-arxiv,True,no-split,10000,4104,13.8971,0.8208,130763,0.016890438663041064,4.104410441044104e-05,9965,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.120640516281128,20 random iterations
ogbn-arxiv,True,no-split,10000,4149,13.7517,0.8298,129219,0.0196468332898977,4.149414941494149e-05,9958,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.2460427284240723,20 random iterations
ogbn-arxiv,True,no-split,10000,3734,13.2528,0.7468,125060,0.014813571060159956,3.7343734373437344e-05,9974,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.3700482845306396,20 random iterations
ogbn-arxiv,True,no-split,10000,3836,13.6148,0.7672,128476,0.015310681716811943,3.8363836383638364e-05,9964,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.9390461444854736,20 random iterations
ogbn-arxiv*,True,no-split,10000,4382,14.2753,0.8764,133989,0.016010331529658108,4.3824382438243826e-05,9971,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.8000895977020264,20 random iterations
ogbn-arxiv,True,no-split,10000,3699,13.1612,0.7398,124214,0.012927482898738345,3.699369936993699e-05,9969,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.052184820175171,20 random iterations
ogbn-arxiv*,True,no-split,10000,3620,13.2106,0.724,124866,0.014839903932622576,3.62036203620362e-05,9980,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,0.7680919170379639,20 random iterations
ogbn-arxiv*,True,no-split,10000,3866,13.38,0.7732,126068,0.013059816542287694,3.8663866386638666e-05,9976,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,1.533651351928711,20 random iterations
ogbn-arxiv,True,no-split,10000,4107,13.8805,0.8214,130591,0.015390895914707005,4.1074107410741075e-05,9975,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.9715020656585693,20 random iterations
ogbn-arxiv*,True,no-split,10000,4451,14.572,0.8902,136818,0.018103154288615492,4.451445144514451e-05,9974,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.7493791580200195,20 random iterations
ogbn-arxiv,True,no-split,10000,4179,14.0529,0.8358,132171,0.01695040124640915,4.1794179417941794e-05,9969,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.3914806842803955,20 random iterations
ogbn-arxiv*,True,no-split,10000,4443,14.3336,0.8886,134450,0.0226625589611649,4.443444344434443e-05,9965,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.9175851345062256,20 random iterations
ogbn-arxiv,True,no-split,10000,4580,14.7864,0.916,138704,0.019334235688138898,4.58045804580458e-05,9970,2,2,1.0,1,1,1,1,2,-0.5,0.0,2.511615514755249,20 random iterations
ogbn-arxiv,True,no-split,10000,4301,14.278,0.8602,134178,0.015952014336716502,4.301430143014302e-05,9972,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,1.1451528072357178,20 random iterations
ogbn-arxiv*,True,no-split,10000,4061,13.8014,0.8122,129892,0.01646223684374116,4.061406140614062e-05,9975,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.4253349304199219,20 random iterations
ogbn-arxiv,True,no-split,7500,2041,13.186533333333333,0.5442666666666667,94817,0.008277888747358157,3.6289283015513176e-05,7487,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.7997837066650391,20 random iterations
ogbn-arxiv,True,no-split,7500,2608,14.938133333333333,0.6954666666666667,106820,0.014106556859313392,4.6370627194737076e-05,7481,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.6916615962982178,20 random iterations
ogbn-arxiv*,True,no-split,7500,2111,13.250933333333334,0.5629333333333333,95160,0.008951544065589338,3.7533893408009954e-05,7482,5,11,1.45,2,2,1,1,5,-0.22448979591836732,0.0,0.7871625423431396,20 random iterations
ogbn-arxiv,True,no-split,7500,3349,17.0988,0.8930666666666667,121543,0.028362744696833395,5.9545717206738673e-05,7484,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,2.8580377101898193,20 random iterations
ogbn-arxiv,True,no-split,7500,1904,12.536266666666666,0.5077333333333334,90214,0.007935177090623986,3.3853402675912345e-05,7488,2,2,1.0,1,1,1,1,2,-0.5,0.0,0.719329833984375,20 random iterations
ogbn-arxiv,True,no-split,7500,2799,15.409466666666667,0.7464,109973,0.01504455729563429,4.9766635551406856e-05,7482,2,2,1.0,1,1,1,1,2,-0.5,0.0,2.1749508380889893,20 random iterations
ogbn-arxiv,True,no-split,7500,2163,13.2684,0.5768,95187,0.010015227487920534,3.845846112815042e-05,7476,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,0.7527062892913818,20 random iterations
ogbn-arxiv*,True,no-split,7500,1937,12.737733333333333,0.5165333333333333,91659,0.00867028515986339,3.4440147575232256e-05,7483,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,0.7529358863830566,20 random iterations
